E: 1, avg_ret: -83.60655737704866
E: 2, avg_ret: -83.57959447799776
E: 3, avg_ret: -83.20510976895741
E: 4, avg_ret: -83.39742207030767
E: 5, avg_ret: -80.42423136253993
E: 6, avg_ret: -71.34118045643763
E: 7, avg_ret: -64.44628654507844
E: 8, avg_ret: -60.53062811547866
E: 9, avg_ret: -56.75760572191731
E: 10, avg_ret: -53.914609654845016
E: 11, avg_ret: -51.2076388711757
E: 12, avg_ret: -45.97998866784659
E: 13, avg_ret: -44.82160897274908
E: 14, avg_ret: -44.232005773203056
E: 15, avg_ret: -43.187967293084746
E: 16, avg_ret: -38.54315854991542
E: 17, avg_ret: -35.53407793047832
E: 18, avg_ret: -31.808563678648294
