E: 1, avg_ret: -0.3278688524589629
E: 2, avg_ret: -0.26315789473679096
E: 3, avg_ret: -0.20526315789469046
E: 4, avg_ret: -0.2599190283400332
E: 5, avg_ret: -0.2243099006256428
E: 6, avg_ret: -0.21904388009646275
E: 7, avg_ret: 1.1012241170135377
E: 8, avg_ret: 0.9308035652654784
E: 9, avg_ret: 0.7997678049219846
E: 10, avg_ret: 0.6751064598927369
E: 11, avg_ret: 0.5813889173517386
E: 12, avg_ret: 0.5005529529152123
E: 13, avg_ret: 0.43691038227754536
E: 14, avg_ret: 0.39228007732623404
E: 15, avg_ret: 0.33627173361051516
E: 16, avg_ret: 0.29986454699822834
E: 17, avg_ret: 0.3170956011732551
