E: 1, avg_ret: -81.23442622950834
E: 2, avg_ret: -75.99616048317532
E: 3, avg_ret: -73.05358067299414
E: 4, avg_ret: -72.64595473551489
E: 5, avg_ret: -70.66795259960077
E: 6, avg_ret: -70.29461818765837
E: 7, avg_ret: -70.88439800700391
E: 8, avg_ret: -69.44765398861252
E: 9, avg_ret: -69.03707549570532
E: 10, avg_ret: -69.01391402122013
E: 11, avg_ret: -68.83333876537255
E: 12, avg_ret: -59.742952108654656
E: 13, avg_ret: -60.75098413268528
E: 14, avg_ret: -62.50800338973229
E: 15, avg_ret: -63.379714728376
E: 16, avg_ret: -62.71818467373121
E: 17, avg_ret: -63.517120723533125
E: 18, avg_ret: -60.81078775825283
E: 19, avg_ret: -57.88832975648452
E: 20, avg_ret: -55.47616192431672
E: 21, avg_ret: -52.659265292073385
E: 22, avg_ret: -49.08861412070279
E: 23, avg_ret: -48.60964322024073
E: 24, avg_ret: -45.68835241686815
E: 25, avg_ret: -44.635997315357166
E: 26, avg_ret: -42.30341389832787
E: 27, avg_ret: -50.22492921077256
E: 28, avg_ret: -43.8261494254883
E: 29, avg_ret: -43.669721367478026
E: 30, avg_ret: -48.6462815009654
E: 31, avg_ret: -50.5009889554706
E: 32, avg_ret: -49.66468332277106
E: 33, avg_ret: -49.93932617167133
E: 34, avg_ret: -49.50375448383102
E: 35, avg_ret: -51.45101357394726
E: 36, avg_ret: -53.603810709268984
E: 37, avg_ret: -57.02128578843909
E: 38, avg_ret: -56.36575238863851
E: 39, avg_ret: -58.96974054194249
E: 40, avg_ret: -60.893272378895034
