E: 1, avg_ret: -81.23442622950834
E: 2, avg_ret: -75.99616048317532
E: 3, avg_ret: -73.05358067299414
E: 4, avg_ret: -72.64595473551489
E: 5, avg_ret: -70.66795259960077
E: 6, avg_ret: -70.29461818765837
E: 7, avg_ret: -70.88439800700391
E: 8, avg_ret: -69.44765398861252
E: 9, avg_ret: -69.03707549570532
E: 10, avg_ret: -69.01391402122013
E: 11, avg_ret: -68.83333876537255
E: 12, avg_ret: -59.742952108654656
E: 13, avg_ret: -60.75098413268528
E: 14, avg_ret: -62.50800338973229
E: 15, avg_ret: -63.379714728376
E: 16, avg_ret: -62.71818467373121
